ngrama,coeficiente,pct_missing_train,pct_missing_test
integral tip american,0.029971214,99.6429,99.581955
brbar cod,0.029882204,99.71277,99.95139
espectacul barri,0.029852076,99.70759,100.0
bao habit,0.029723916,99.81368,99.90278
zon lavanderi habit,0.029693102,99.774864,99.77639
american abiert,0.029619535,99.774864,99.77639
principal balcon,0.029568344,98.84329,99.97083
camp golf,0.02950226,99.614426,99.43613
parqueader dobl,0.029380167,99.74899,99.79584
habit baos sal,0.029322391,99.73605,99.77639
cerr excelent,0.029237168,99.836975,100.0
habitacin principal,0.02915647,99.7464,99.99028
servici zon lavander,0.029054783,99.187454,99.99028
principal ban habit,0.028888099,99.836975,99.72778
sal chimene,0.028879335,99.81627,99.99028
balcon vist,0.028848514,99.780045,99.90278
ban sal,0.028809674,99.780045,100.0
integral abiert,0.028782958,99.780045,100.0
ban tin,0.028670223,99.702415,99.94167
iluminaci oacut,0.02855275,99.85767,99.98056
duplex habit,0.028552117,99.39965,99.04725
closet ban alcob,0.028490998,99.46434,99.48473
ban ampli,0.028459502,94.17516,94.88628
servici deposit,0.028381664,99.67653,99.805565
edifici club,0.028375555,99.8111,99.65001
nivel excelent,0.028364051,99.824036,99.78612
cocin ban zon,0.028349437,99.505745,99.71806
ampli pis,0.028278718,99.59373,99.581955
zon zon,0.0282265,98.4215,98.10422
comedor balcon,0.028137892,99.41517,99.41669
ampli alcob,0.028026195,99.384125,99.48473
balcn ampli,0.027995968,99.81886,99.77639
bahi parque,0.027910288,99.21075,99.12502
sext pis,0.027909761,99.73347,99.815285
call cient veintisiet,0.027900094,99.74123,99.78612
independient sal,0.027809087,99.54198,99.73751
carolin habit,0.027798606,98.592285,98.755585
hog suen,0.027732953,99.78781,99.72778
alcob cuart ban,0.027644377,99.73347,100.0
squash salon,0.027592555,95.999405,98.16255
hermos ampli,0.0275737,99.824036,99.94167
zon bbq gimnasi,0.027428698,99.83956,100.0
saun turc,0.027331525,99.705,99.76667
ban complet ban,0.027250089,87.00999,80.20626
colegi zon,0.027193228,99.645485,99.319466
comercial galeri,0.027165152,99.836975,99.6014
pis baldos,0.027158614,99.780045,99.688896
independient cocin cerr,0.027143352,99.82662,99.465294
cocin comedor,0.027130874,99.74899,99.61112
ampli independient,0.027056403,99.54198,99.5139
are constru,0.0270372,99.039955,98.69726
ampli cocin cerr,0.026953796,98.330925,98.47365
residencial zon,0.026871517,99.73347,99.805565
hermos remodel,0.02656829,99.754166,100.0
modern acab,0.026559742,99.697235,99.95139
clinic rein,0.02642192,99.75158,99.6014
independient habit ban,0.026222074,93.7094,89.65574
comedor balcn,0.02616617,99.82145,99.688896
ampli balcn,0.026137859,97.720215,96.66538
esquiner ubic,0.026079739,99.49798,99.64029
club hous,0.026078282,99.60667,99.562515
iluminacin natural,0.026059998,99.767105,99.52362
3er pis,0.026051523,99.7904,99.84445
gimnasi bbq,0.025993902,99.31167,99.43613
zon jueg nin,0.025919978,99.5368,99.76667
